Altium Designer Pick and Place Locations
D:\Applications\hardware\pca10056\trunk\production_files\400236_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       24.05.24
Time:       08.31
Revision:   27885
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C18","12pF","TopLayer","CAPC1005X04L","108.7981","37.0518","0","Capacitor, NP0, ±2%"
"C17","12pF","TopLayer","CAPC1005X04L","106.3851","38.5504","270","Capacitor, NP0, ±2%"
"C5","100nF","TopLayer","CAPC1005X04L","109.3238","40.4554","180","Capacitor, X7R, ±10%"
"C6","4.7µF","TopLayer","CAPC1608X06L","107.6128","32.6674","270","Capacitor, X7R, ±10%, 6.3V"
"C8","100nF","TopLayer","CAPC1005X04L","118.1886","32.4924","270","Capacitor, X7R, ±10%"
"C1","12pF","TopLayer","CAPC1005X04L","121.2028","43.7128","270","Capacitor, NP0, ±2%"
"X1","32MHz","TopLayer","BT-XTAL_2016","119.4248","43.7128","180","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm, -30°C ~ 85°C, ESR: 50ohm max"
"C9","N.C.","TopLayer","CAPC1005X04L_NC","121.0636","35.6174","0","Not mounted"
"C7","100nF","TopLayer","CAPC1005X04L","115.4898","32.4924","270","Capacitor, X7R, ±10%"
"C2","12pF","TopLayer","CAPC1005X04L","117.6468","43.7128","90","Capacitor, NP0, ±2%"
"U1","nRF52840-QIAA","TopLayer","AQFN50P700X700X85_HS-74N","115.1636","37.6174","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"X2","32.768kHz","TopLayer","XTAL_3215","108.6711","38.5250","0","XTAL SMD 3215, 32.768kHz, 9pF, ±20ppm"
"C14","1.0µF","TopLayer","CAPC1608X06L","109.3636","41.4440","180","Capacitor, X7R, ±10%"
"U25","74LVC1G08","TopLayer","SOT65P210X100-5N","24.5110","10.4140","90","Single 2-Input AND Gate"
"R89","1M0","TopLayer","RESC0603X03L_C","11.7602","11.4808","90","Resistor, ±1%, 0.05W"
"Q82","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","33.9250","18.1000","270","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"J6","HDR-2, 1mm","TopLayer","SM02B-SRSS-TB","3.1679","12.7762","270","1.0mm pitch connector side entry SMD"
"P27","Pin List 1x2","TopLayer","LIST_1x2-NC","8.1788","12.6746","270","Pin List 1x2, 2.54mm (100mil)"
"C64","10µF","TopLayer","CAPC1608X06L","9.9722","29.0576","180","Capacitor, X5R, ±20%"
"Bat1","Bat Holder CR2032","BottomLayer","L-KLS5-CR2032-23-B1","11.4300","31.7348","90","Bat Holder CR2032 SMD"
"TP19","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","62.4840","27.9400","90","1.0mm circular SMD testpad"
"R68","1M0","TopLayer","RESC0603X03L_C","64.5160","27.6098","270","Resistor, ±1%, 0.05W"
"P18","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","82.5500","27.9400","180","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"C47","300pF","TopLayer","CAPC1005X04L","125.7299","20.6688","180","Capacitor, C0G, ±5%, 50V"
"C46","300pF","TopLayer","CAPC1005X04L","123.6471","20.6688","180","Capacitor, C0G, ±5%, 50V"
"TP41","TP","TopLayer","TESTPAD-TH","67.9450","5.7150","0","Testpoint, through hole"
"TP40","TP","TopLayer","TESTPAD-TH","125.0950","60.9600","0","Testpoint, through hole"
"P20","Pin List 1x13","TopLayer","LIST_1x13_SMD","34.0360","45.7200","0","Pin List 1x13, 2.54mm (100mil), SMD"
"J4","TC2050-IDC","TopLayer","TC2050-IDC-NLFP","59.6900","43.1800","90","CBL PLUG-OF-NAILS 10-PIN"
"SB4","Solderbridge","TopLayer","Solderbridge","108.5850","45.4660","90","Solderbridge"
"SB3","Solderbridge","TopLayer","Solderbridge","106.4260","45.4660","90","Solderbridge"
"R26","47k","TopLayer","RESC0603X03L_C","94.9960","59.9186","270","Resistor, ±1%, 0.05W"
"TP30","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","28.5496","15.0368","270","1.0mm circular SMD testpad"
"Fid1","Fiducial mark","TopLayer","Fiducial","129.4708","59.9440","180","Fiducial Mark"
"Fid2","Fiducial mark","TopLayer","Fiducial","13.7428","2.8448","0","Fiducial Mark"
"J2","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP_Allen","3.3180","31.7500","0","MicroUSB-B-SMT"
"C65","100nF","TopLayer","CAPC0603X03L_C","9.5150","30.0736","180","Capacitor, X5R, ±10%"
"D61","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","8.1942","32.0802","270","Ultra low capacitance double rail-to-rail ESD protection diode"
"C67","4.7nF","TopLayer","CAPC0603X03L_C","1.8502","26.1874","180","Capacitor, X7R, ±10%, 10V"
"P5","Pin Hdr 2x3","TopLayer","HDR_2x3-SMD","64.8970","33.0200","270","Pin Header 2x3, 2.54mm (100mil) SMD"
"P2","Socket 1x6","TopLayer","SOCKET_1x6_SMD","57.1500","7.6200","0","Socket 1x6, 2.54mm (100mil), SMD"
"P1","Socket 1x8","TopLayer","SOCKET_1x8_SMD","36.8300","7.6200","0","Socket 1x8, 2.54mm (100mil), SMD"
"P4","Socket 1x10","TopLayer","SOCKET_1x10_SMD","30.2260","55.8800","180","Socket 1x10, 2.54mm (100mil), SMD"
"P3","Socket 1x8","TopLayer","SOCKET_1x8_SMD","54.6100","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P7","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","36.8300","7.6200","0","Pin List 1x8, 2.54mm (100mil), SMD"
"P9","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","54.6100","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P10","Pin List 1x10","BottomLayer","LIST_1x10_SMD-NC","30.2260","55.8800","180","Pin List 1x10, 2.54mm (100mil), SMD"
"P8","Pin List 1x6","BottomLayer","LIST_1x6_SMD-NC","57.1500","7.6200","0","Pin List 1x6, 2.54mm (100mil), SMD"
"P11","Socket 2x3","BottomLayer","SOCKET_2x3_SMD-2.54mm-NC","64.8970","33.0200","90","Socket 2x3, 2.54mm (100mil), SMD"
"SW8","MKH-22D14-G2-B","TopLayer","MKH-22D14-G2-B","5.5276","5.3594","0","Slide Switch DPDT"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","3.8860","58.7756","90","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P21","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.6648","19.2786","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"P13","Pin Header 2x8","TopLayer","HDR_2x8-NC","36.8300","2.5400","0","Pin Header 2x8, 2.54mm (100mil)"
"P14","Pin Header 2x6","TopLayer","HDR_2x6-NC","57.1500","2.5400","0","Pin Header 2x6, 2.54mm (100mil)"
"P15","Pin Header 2x8","TopLayer","HDR_2x8-NC","54.6100","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P16","Pin Header 2x10","TopLayer","HDR_2x10-NC","30.2260","60.9600","180","Pin Header 2x10, 2.54mm (100mil)"
"R63","1M0","TopLayer","RESC0603X03L_C","1.8502","26.8986","180","Resistor, ±1%, 0.05W"
"P6","Socket 1x8","TopLayer","SOCKET_1x8_SMD","77.4700","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P12","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","77.4700","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P17","Pin Header 2x8","TopLayer","HDR_2x8-NC","77.4700","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P24","Socket 2x9","TopLayer","SOCKET_2x9_SMD-2.54mm-Mirrored","95.2500","43.1800","270","Socket 2x9, 2.54mm (100mil), SMD"
"P25","Pin Header 2x10, 1.27mm","TopLayer","HDR_2x10-SMD-1.27mm-NC","79.3750","36.1950","180","Pin Header 2x10, 1.27mm (50mil), SMD, Keying Shroud"
"R86","1M0","TopLayer","RESC0603X03L_C","14.5500","14.2000","0","Resistor, ±1%, 0.05W"
"U13","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","20.4978","15.9766","0","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U14","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","20.4978","14.5669","0","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U21","74LVC1G11","TopLayer","SOT65P210X100-6N","18.8214","10.4140","270","Single 3-input AND gate"
"U15","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","20.4978","13.1572","0","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"C85","100nF","TopLayer","CAPC0603X03L_C","27.5336","28.1940","0","Capacitor, X5R, ±10%"
"C50","100nF","TopLayer","CAPC0603X03L_C","90.9066","21.4122","0","Capacitor, X5R, ±10%"
"R87","1M0","TopLayer","RESC0603X03L_C","28.4480","16.6116","0","Resistor, ±1%, 0.05W"
"R88","10M","TopLayer","RESC0603X03L_C","32.5882","38.4556","90","Resistor, ±1%, 0.05W"
"SW9","JS203011JCQN","TopLayer","Switch-Slide-J-Lead-DP3T-13x3.5mm","23.7490","38.5064","0","Slide Switch DP3T 300mA 6V"
"SW7","Switch","TopLayer","CJS-120xA","82.5500","43.8150","0","SMD slide Switch (ON-ON)"
"TP8","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","55.8800","19.0500","90","1.0mm circular SMD testpad"
"U17","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","23.3172","17.8816","180","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U16","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","25.5778","17.8816","180","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U8","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","91.9480","23.6220","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"C49","100nF","TopLayer","CAPC0603X03L_C","111.5060","20.4470","180","Capacitor, X5R, ±10%"
"C42","100nF","TopLayer","CAPC0603X03L_C","71.0946","20.1930","0","Capacitor, X5R, ±10%"
"C45","100nF","TopLayer","CAPC0603X03L_C","59.5884","15.9004","90","Capacitor, X5R, ±10%"
"C48","100nF","TopLayer","CAPC0603X03L_C","79.1210","19.9644","0","Capacitor, X5R, ±10%"
"C63","10nF","TopLayer","CAPC0603X03L_C","7.2192","38.3286","0","Capacitor, X7R, ±10%"
"C60","10nF","TopLayer","CAPC0603X03L_C","87.1220","8.7122","180","Capacitor, X7R, ±10%"
"C61","10µF","TopLayer","CAPC1608X06L","92.6230","11.2784","270","Capacitor, X5R, ±20%"
"C62","100nF","TopLayer","CAPC0603X03L_C","91.6324","11.5324","270","Capacitor, X5R, ±10%"
"C66","4.7nF","TopLayer","CAPC0603X03L_C","95.1041","3.3555","90","Capacitor, X7R, ±10%, 10V"
"D60","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","89.4273","10.3398","0","Ultra low capacitance double rail-to-rail ESD protection diode"
"FB65","120R/0.55A","TopLayer","INDC1005X04L","2.0212","25.3170","0","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB63","120R/0.55A","TopLayer","INDC1005X04L","6.1468","28.8290","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB61","120R/0.55A","TopLayer","INDC1005X04L","5.5880","38.3286","180","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB60","120R/0.55A","TopLayer","INDC1005X04L","85.4202","8.7122","180","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB62","120R/0.55A","TopLayer","INDC1005X04L","93.6136","11.5578","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB64","120R/0.55A","TopLayer","INDC1005X04L","95.9423","3.3555","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"J3","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP_Allen","89.7293","4.9311","90","MicroUSB-B-SMT"
"J5","FPC 0.5mm RA SMD","TopLayer","FPC_05P-0.5mm-RA-SMD","124.6978","8.1782","0","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"
